                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88511,                0.55863,                 1.2158,                 0.9767,                0.94085,                0.97373,                0.54073,                 1.4812,                0.59303,                 1.7141,             0.00032219,             0.00032219,             0.00032219
                      2,                0.89638,                0.51135,                 1.2119,                0.97855,                0.93402,                0.98325,                0.56404,                 1.4151,                0.59091,                  1.736,              0.0005906,              0.0005906,              0.0005906
                      3,                0.92492,                0.52912,                 1.2406,                0.94285,                0.95922,                0.96269,                0.53254,                 1.4571,                0.62421,                 1.7468,             0.00079301,             0.00079301,             0.00079301
                      4,                 0.9548,                0.55927,                 1.2376,                0.93842,                0.90841,                0.94509,                0.52373,                 1.4377,                0.68387,                  1.719,             0.00078103,             0.00078103,             0.00078103
                      5,                 0.9093,                0.54383,                  1.197,                0.95801,                 0.9093,                0.95855,                0.54788,                 1.4079,                0.66769,                 1.7076,             0.00067104,             0.00067104,             0.00067104
                      6,                0.89117,                0.53931,                 1.2104,                0.96523,                0.94716,                0.96304,                 0.5442,                 1.4867,                 0.6042,                 1.8037,             0.00056105,             0.00056105,             0.00056105
                      7,                 0.8777,                0.50697,                  1.197,                0.96208,                0.95601,                0.97074,                0.56296,                 1.4338,                0.58431,                 1.7175,             0.00045107,             0.00045107,             0.00045107
                      8,                0.83899,                0.46659,                 1.1675,                0.97077,                0.96107,                0.95909,                0.55836,                 1.4608,                0.57372,                 1.7836,             0.00034108,             0.00034108,             0.00034108
                      9,                0.81342,                0.45081,                 1.1572,                0.97433,                0.95553,                0.95526,                0.56117,                 1.4096,                0.55331,                  1.757,             0.00023109,             0.00023109,             0.00023109
                     10,                0.80439,                0.44129,                  1.145,                  0.974,                0.96182,                0.95971,                0.55127,                 1.4382,                0.53962,                 1.7694,              0.0001211,              0.0001211,              0.0001211
